timestamp,position.x,position.y,position.z,velocity.x,velocity.y,velocity.z,attitude.x,attitude.y,attitude.z
0,51.8,30.67,-2.0,0.0,0.0,0.0,0.0,0.0,2.8
5000000,51.8,30.67,-1.999915552372753,0.0,0.0,0.04021525102297608,0.0,0.0,2.8
10000000,51.8,30.67,-1.9995846810122773,1.959391704744815e-13,1.242691806767461e-12,0.08564523894790772,-6.594904674398723e-10,-1.2355825496224682e-10,2.7999999952719237
15000000,51.8,30.670000000000066,-1.9990379010187285,6.219896779621232e-12,4.1832430653233874e-11,0.12280406458205483,-5.559222644283669e-09,-1.133939623928941e-09,2.7999999815410472
20000000,51.800000000000075,30.670000000000794,-1.9983216793012206,3.1189468402600515e-11,3.02264158330255e-10,0.15066601027708312,-1.6511171392368024e-08,-4.998565203218662e-09,2.799999955910048
25000000,51.80000000000022,30.67000000000426,-1.9974841620337278,-1.2335851861334173e-11,1.180095740967855e-09,0.16950362947345363,-3.5217705679779595e-08,-1.685417868046541e-08,2.7999999156853645
30000000,51.799999999999784,30.6700000000123,-1.9967569381868975,-2.392876175098238e-10,2.8916413432654492e-09,0.17877222447842528,-6.402861051684584e-08,-3.381747183930937e-08,2.799999879440805
35000000,51.79999999999693,30.67000000003806,-1.995808556189373,-9.563752075496356e-10,7.624612861245537e-09,0.18443012403613643,-1.2543947457321498e-07,-6.782462568829559e-08,2.7999998403163904
40000000,51.79999999998834,30.670000000100213,-1.9948445268050958,-2.5581492423046003e-09,1.7260003030678066e-08,0.18504815245893513,-2.1686672540281802e-07,-1.2429308000725662e-07,2.799999817277049
45000000,51.79999999996684,30.67000000023071,-1.993887056714828,-6.19487965614444e-09,3.4311838276251753e-08,0.18215094395487338,-3.368180479181883e-07,-2.2235124216011528e-07,2.7999998046558905
49999999,51.79999999992991,30.670000000414486,-1.9931359561273652,-1.2131690929075163e-08,5.5070921945649e-08,0.17820002179607247,-4.484549010596765e-07,-3.4428627255830276e-07,2.799999789669682
54999999,51.79999999983412,30.670000000790957,-1.9922230735488844,-2.6139271704889553e-08,9.152034771164911e-08,0.17221969199831466,-5.893560493117952e-07,-5.573625359952046e-07,2.799999750357385
59999999,51.799999999638686,30.670000001389212,-1.9913427417098637,-5.1051583337377076e-08,1.4026448122851976e-07,0.16580626756396413,-7.152564903562125e-07,-8.386135790433884e-07,2.7999996804900302
64999999,51.79999999927671,30.670000002273444,-1.9904957943106598,-9.071553551689627e-08,2.0133293074046218e-07,0.15946386809289037,-8.239630854293651e-07,-1.1877591689149705e-06,2.7999995834622924
70000000,51.79999999866164,30.670000003508033,-1.9896810414721664,-1.4884878004895483e-07,2.7485312946593554e-07,0.153475278621373,-9.206070445518444e-07,-1.6079145132873482e-06,2.7999994429145465
75000000,51.799999997917055,30.670000004792293,-1.989050947742121,-2.110328216793801e-07,3.430109975562772e-07,0.14902434886146904,-9.9477407741404e-07,-1.993563722545284e-06,2.7999992803178237
80000000,51.799999996569206,30.670000006826623,-1.988288308972997,-3.1077728862706865e-07,4.404908235453016e-07,0.14390874285563904,-1.08544585419064e-06,-2.5209934812532587e-06,2.7999989995500565
85000000,51.79999999463479,30.670000009405186,-1.9875511352461641,-4.363845262110907e-07,5.520426992122899e-07,0.13923325808284925,-1.1772070673190011e-06,-3.066356548765137e-06,2.7999986132891395
90000000,51.79999999197905,30.670000012601896,-1.9868373429298998,-5.875713260926406e-07,6.778936282822055e-07,0.13491544673180017,-1.2786386655316412e-06,-3.595303179763785e-06,2.7999981024370246
95000000,51.799999988472926,30.670000016491738,-1.9861452988580381,-7.625358999692314e-07,8.182316387547267e-07,0.13086751478020928,-1.3959880994744932e-06,-4.085534107444015e-06,2.7999974749245475
100000000,51.79999998399907,30.670000021150475,-1.9854738112231405,-9.587298448908083e-07,9.731493321789004e-07,0.12700946068520733,-1.5286729076872524e-06,-4.526369911441891e-06,2.799996777236412
105000000,51.79999997965343,30.6700000254819,-1.984950865182535,-1.1290039629904747e-06,1.1074433082689604e-06,0.12401532218587036,-1.6419306606997927e-06,-4.837377826887235e-06,2.7999962139581096
110000000,51.7999999731882,30.670000031713283,-1.9843145437232852,-1.3560975375004399e-06,1.2875797634713716e-06,0.12034185511450154,-1.7776449064754917e-06,-5.176385354434998e-06,2.7999955527687894
115000000,51.79999996550377,30.67000003891503,-1.983697223949174,-1.5968117426757442e-06,1.4796812924225243e-06,0.11671483256107297,-1.8866439136317214e-06,-5.461533680956382e-06,2.799994963556013
120000000,51.79999995653483,30.670000047142423,-1.9830987124002797,-1.849010906534232e-06,1.680848727305898e-06,0.1131177536146742,-1.948528713894445e-06,-5.689405302100899e-06,2.7999944333682913
125000000,51.79999994622659,30.670000056432972,-1.9825188724908143,-2.1108181554576283e-06,1.887239611404841e-06,0.10954460066768192,-1.9488165539973187e-06,-5.862557913372341e-06,2.799993946900544
130000000,51.7999999369846,30.670000064642363,-1.9820683610224463,-2.326125674096643e-06,2.0531596573268317e-06,0.10670376349582061,-1.8987437304129946e-06,-5.963139324548403e-06,2.799993602550262
135000000,51.79999992415504,30.670000075870885,-1.981521805573084,-2.60150965547502e-06,2.2577720047742693e-06,0.10317843000794093,-1.7750840251588216e-06,-6.049089173350132e-06,2.799993239809911
140000000,51.799999909874785,30.6700000881492,-1.9809935282824636,-2.8830917121433556e-06,2.455731011839023e-06,0.09968608244225655,-1.5985912405087075e-06,-6.1051866937442645e-06,2.79999293645973
